"existing_resource_id","existing_resource_name","current_category","current_rarity","current_discovery_tier","current_planet_profile_references","current_runtime_references","current_economy_references","current_crafting_references","current_research_references","proposed_primary_category","proposed_subcategory","proposed_secondary_categories","proposed_tags","resource_type","keep_as_resource","move_to_discoveries","discovery_category","existing_discovery_match","duplicate_candidate","periodic_element_match","atomic_number","migration_required","replacement_resource_id","replacement_discovery_id","save_compatibility_risk","notes"
"RES-0018","Basalt","Mineral","Uncommon","Earth","14","1","1","1","0","Rocks and Geological Materials","Rock Types","","Mineral;Uncommon;Earth","Rock","true","false","","","false","false","","false","RES-0018","","Low: stable ID preserved","Canonical record retained."
"RES-0019","Marble","Mineral","Uncommon","Earth","0","1","1","1","0","Rocks and Geological Materials","Rock Types","","Mineral;Uncommon;Earth","Rock","true","false","","","false","false","","false","RES-0019","","Low: stable ID preserved","Canonical record retained."
"RES-0020","Obsidian","Mineral/Glass","Uncommon","Earth","5","1","1","1","0","Rocks and Geological Materials","Natural Glass","","Mineral/Glass;Uncommon;Earth","Rock","true","false","","","false","false","","false","RES-0020","","Low: stable ID preserved","Canonical record retained."
"RES-0021","Graphite","Carbon","Uncommon","Earth","0","1","1","1","0","Minerals","Carbon Minerals","","Carbon;Uncommon;Earth","Mineral","true","false","","","false","false","","false","RES-0021","","Low: stable ID preserved","Canonical record retained."
"RES-0022","Aluminum","Metal","Uncommon","Earth","0","1","1","1","0","Elements","Post-Transition Metal","","Metal;Uncommon;Earth;Post-Transition Metal;Al","Element","true","false","","","false","true","13","false","RES-0022","","Low: stable ID preserved","Canonical record retained."
"RES-0023","Nickel","Metal","Uncommon","Earth","16","1","1","1","0","Elements","Transition Metal","","Metal;Uncommon;Earth;Transition Metal;Ni","Element","true","false","","","false","true","28","false","RES-0023","","Low: stable ID preserved","Canonical record retained."
"RES-0024","Silver","Metal","Uncommon","Earth","10","1","1","1","0","Elements","Transition Metal","","Metal;Uncommon;Earth;Transition Metal;Ag","Element","true","false","","","false","true","47","false","RES-0024","","Low: stable ID preserved","Canonical record retained."
"RES-0025","Gold","Metal","Uncommon","Earth","34","1","1","1","0","Elements","Transition Metal","","Metal;Uncommon;Earth;Transition Metal;Au","Element","true","false","","","false","true","79","false","RES-0025","","Low: stable ID preserved","Canonical record retained."
"RES-0026","Lithium","Metal","Uncommon","Earth","16","1","1","1","0","Elements","Alkali Metal","","Metal;Uncommon;Earth;Alkali Metal;Li","Element","true","false","","","false","true","3","false","RES-0026","","Low: stable ID preserved","Canonical record retained."
"RES-0027","Silicon","Element","Uncommon","Earth","26","1","1","1","0","Elements","Metalloid","","Element;Uncommon;Earth;Metalloid;Si","Element","true","false","","","false","true","14","false","RES-0027","","Low: stable ID preserved","Canonical record retained."
"RES-0028","Phosphorus","Chemical","Uncommon","Earth","3","1","1","1","0","Elements","Reactive Nonmetal","","Chemical;Uncommon;Earth;Reactive Nonmetal;P","Element","true","false","","","false","true","15","false","RES-0028","","Low: stable ID preserved","Canonical record retained."
"RES-0029","Natural Gas","Fuel","Uncommon","Earth","0","1","1","1","0","Fuels","Gaseous Fuels","","Fuel;Uncommon;Earth","Fuel","true","false","","","false","false","","false","RES-0029","","Low: stable ID preserved","Canonical record retained."
"RES-0030","Oil","Fuel","Uncommon","Earth","0","1","1","1","0","Liquids","Hydrocarbon Liquids","","Fuel;Uncommon;Earth","Liquid","true","false","","","false","false","","false","RES-0030","","Low: stable ID preserved","Canonical record retained."
"RES-0031","Titanium","Metal","Rare","Earth","35","1","0","1","0","Elements","Transition Metal","","Metal;Rare;Earth;Transition Metal;Ti","Element","true","false","","","false","true","22","false","RES-0031","","Low: stable ID preserved","Canonical record retained."
"RES-0032","Platinum","Metal","Rare","Earth","3","1","0","1","0","Elements","Transition Metal","","Metal;Rare;Earth;Transition Metal;Pt","Element","true","false","","","false","true","78","false","RES-0032","","Low: stable ID preserved","Canonical record retained."
"RES-0033","Palladium","Metal","Rare","Earth","0","1","0","1","0","Elements","Transition Metal","","Metal;Rare;Earth;Transition Metal;Pd","Element","true","false","","","false","true","46","false","RES-0033","","Low: stable ID preserved","Canonical record retained."
"RES-0034","Iridium","Metal","Rare","Earth","3","1","0","1","0","Elements","Transition Metal","","Metal;Rare;Earth;Transition Metal;Ir","Element","true","false","","","false","true","77","false","RES-0034","","Low: stable ID preserved","Canonical record retained."
"RES-0035","Chromium","Metal","Rare","Earth","1","1","0","1","0","Elements","Transition Metal","","Metal;Rare;Earth;Transition Metal;Cr","Element","true","false","","","false","true","24","false","RES-0035","","Low: stable ID preserved","Canonical record retained."
"RES-0036","Cobalt","Metal","Rare","Earth","3","1","0","1","0","Elements","Transition Metal","","Metal;Rare;Earth;Transition Metal;Co","Element","true","false","","","false","true","27","false","RES-0036","","Low: stable ID preserved","Canonical record retained."
"RES-0037","Tungsten","Metal","Rare","Earth","0","1","0","1","0","Elements","Transition Metal","","Metal;Rare;Earth;Transition Metal;W","Element","true","false","","","false","true","74","false","RES-0037","","Low: stable ID preserved","Canonical record retained."
"RES-0038","Rare Earth Elements","Element Group","Rare","Earth","22","1","0","1","0","Ores","Critical Metal Ores","","Element Group;Rare;Earth","Ore","true","false","","","false","false","","false","RES-0038","","Low: stable ID preserved","Canonical record retained."
"RES-0039","Uranium","Radioactive","Rare","Earth","25","1","0","1","0","Elements","Actinide","","Radioactive;Rare;Earth;Actinide;U","Element","true","false","","","false","true","92","false","RES-0039","","Low: stable ID preserved","Canonical record retained."
"RES-0040","Industrial Diamond","Crystal/Carbon","Rare","Earth","5","1","0","1","0","Crystals","Industrial Crystals","","Crystal/Carbon;Rare;Earth","Crystal","true","false","","","false","false","","false","RES-0040","","Low: stable ID preserved","Canonical record retained."
"RES-0041","Water Ice","Ice","Uncommon","Planetary","9","1","1","0","0","Ices and Frozen Volatiles","Water Ice","","Ice;Uncommon;Planetary","Ice","true","false","","","false","false","","false","RES-0041","","Low: stable ID preserved","Canonical record retained."
"RES-0042","Regolith","Mineral","Uncommon","Planetary","3","1","1","0","0","Rocks and Geological Materials","Sediments and Soils","","Mineral;Uncommon;Planetary","Rock","true","false","","","false","false","","false","RES-0042","","Low: stable ID preserved","Canonical record retained."
"RES-0043","Ammonia Ice","Ice/Chemical","Uncommon","Planetary","1","1","1","0","0","Ices and Frozen Volatiles","Frozen Volatiles","","Ice/Chemical;Uncommon;Planetary","Ice","true","false","","","false","false","","false","RES-0043","","Low: stable ID preserved","Canonical record retained."
"RES-0044","Methane Ice","Ice/Fuel","Uncommon","Planetary","1","1","1","0","0","Ices and Frozen Volatiles","Frozen Volatiles","","Ice/Fuel;Uncommon;Planetary","Ice","true","false","","","false","false","","false","RES-0044","","Low: stable ID preserved","Canonical record retained."
"RES-0045","Nitrogen Ice","Ice/Chemical","Uncommon","Planetary","5","1","1","0","0","Ices and Frozen Volatiles","Frozen Volatiles","","Ice/Chemical;Uncommon;Planetary","Ice","true","false","","","false","false","","false","RES-0045","","Low: stable ID preserved","Canonical record retained."
"RES-0046","Methane Hydrates","Fuel","Uncommon","Planetary","3","1","1","0","0","Fuels","Gaseous Fuels","","Fuel;Uncommon;Planetary","Fuel","true","false","","","false","false","","false","RES-0046","","Low: stable ID preserved","Canonical record retained."
"RES-0047","Heavy Water","Liquid","Uncommon","Planetary","12","1","1","0","0","Liquids","Specialized Water","","Liquid;Uncommon;Planetary","Liquid","true","false","","","false","false","","false","RES-0047","","Low: stable ID preserved","Canonical record retained."
"RES-0048","Deuterium","Isotope","Uncommon","Planetary","8","1","1","0","0","Isotopes","Hydrogen Isotopes","","Isotope;Uncommon;Planetary","Isotope","true","false","","","false","false","","false","RES-0048","","Low: stable ID preserved","Canonical record retained."
"RES-0049","Helium-3","Isotope","Uncommon","Planetary","14","1","1","0","0","Isotopes","Helium and Solar Isotopes","","Isotope;Uncommon;Planetary","Isotope","true","false","","","false","false","","false","RES-0049","","Low: stable ID preserved","Canonical record retained."
"RES-0050","Metallic Hydrogen","Exotic Fuel","Uncommon","Planetary","1","1","1","0","0","Fuels","High-Pressure Fuels","","Exotic Fuel;Uncommon;Planetary","Fuel","true","false","","","false","false","","false","RES-0050","","Low: stable ID preserved","Canonical record retained."
"RES-0051","Meteoric Iron","Metal","Uncommon","Planetary","3","1","1","0","0","Minerals","Metallic Minerals","","Metal;Uncommon;Planetary","Mineral","true","false","","","false","false","","false","RES-0051","","Low: stable ID preserved","Canonical record retained."
"RES-0052","Solar Wind Isotopes","Isotope","Uncommon","Planetary","1","1","1","0","0","Isotopes","Helium and Solar Isotopes","","Isotope;Uncommon;Planetary","Isotope","true","false","","","false","false","","false","RES-0052","","Low: stable ID preserved","Canonical record retained."
"RES-0053","Manganese Nodules","Metal/Ocean","Uncommon","Planetary","1","1","1","0","0","Ores","Metal Ores","","Metal/Ocean;Uncommon;Planetary","Ore","true","false","","","false","false","","false","RES-0053","","Low: stable ID preserved","Canonical record retained."
"RES-0054","Coral","Organic/Mineral","Uncommon","Planetary","3","1","1","0","0","Biological Materials","Coral Materials","","Organic/Mineral;Uncommon;Planetary","Biological","true","false","","","false","false","","false","RES-0054","","Low: stable ID preserved","Canonical record retained."
"RES-0055","Calcium","Element","Uncommon","Planetary","2","1","1","0","0","Elements","Alkaline Earth Metal","","Element;Uncommon;Planetary;Alkaline Earth Metal;Ca","Element","true","false","","","false","true","20","false","RES-0055","","Low: stable ID preserved","Canonical record retained."
"RES-0056","Magnetite","Mineral","Uncommon","Planetary","3","1","1","0","0","Minerals","Oxide Minerals","","Mineral;Uncommon;Planetary","Mineral","true","false","","","false","false","","false","RES-0056","","Low: stable ID preserved","Canonical record retained."
"RES-0057","Alien Organics","Organic","Epic","Alien","30","1","1","0","0","Organic Materials","Organic Compounds","","Organic;Epic;Alien","Organic","true","false","","","false","false","","false","RES-0057","","Low: stable ID preserved","Canonical record retained."
"RES-0058","Living Biomass","Biological","Epic","Alien","19","1","1","0","0","Biological Materials","Biomass","","Biological;Epic;Alien","Biological","true","false","","","false","false","","false","RES-0058","","Low: stable ID preserved","Canonical record retained."
"RES-0059","Bio Gel","Biological","Epic","Alien","19","1","1","0","0","Biological Materials","Biomass","","Biological;Epic;Alien","Biological","true","false","","","false","false","","false","RES-0059","","Low: stable ID preserved","Canonical record retained."
"RES-0060","Genetic Material","Biological","Epic","Alien","7","1","1","0","0","Biological Materials","Genetic Materials","","Biological;Epic;Alien","Biological","true","false","","","false","false","","false","RES-0060","","Low: stable ID preserved","Canonical record retained."
"RES-0061","Alien Genome","Biological","Epic","Alien","15","1","1","0","0","Biological Materials","Genetic Materials","","Biological;Epic;Alien","Biological","true","false","","","false","false","","false","RES-0061","","Low: stable ID preserved","Canonical record retained."
"RES-0062","Organic Polymer","Organic","Epic","Alien","2","1","1","0","0","Organic Materials","Biopolymers and Resins","","Organic;Epic;Alien","Organic","true","false","","","false","false","","false","RES-0062","","Low: stable ID preserved","Canonical record retained."
"RES-0063","Neural Tissue","Biological","Epic","Alien","3","1","1","0","0","Biological Materials","Biological Tissues","","Biological;Epic;Alien","Biological","true","false","","","false","false","","false","RES-0063","","Low: stable ID preserved","Canonical record retained."
"RES-0064","Chitin","Organic","Epic","Alien","1","1","1","0","0","Organic Materials","Structural Organics","","Organic;Epic;Alien","Organic","true","false","","","false","false","","false","RES-0064","","Low: stable ID preserved","Canonical record retained."
"RES-0065","Hive Resin","Organic","Epic","Alien","1","1","1","0","0","Organic Materials","Biopolymers and Resins","","Organic;Epic;Alien","Organic","true","false","","","false","false","","false","RES-0065","","Low: stable ID preserved","Canonical record retained."
"RES-0066","Fungal Matter","Organic","Epic","Alien","2","1","1","0","0","Organic Materials","Fungal Materials","","Organic;Epic;Alien","Organic","true","false","","","false","false","","false","RES-0066","","Low: stable ID preserved","Canonical record retained."
"RES-0067","Mycelium Fiber","Organic","Epic","Alien","1","1","1","0","0","Organic Materials","Plant Fibers","","Organic;Epic;Alien","Organic","true","false","","","false","false","","false","RES-0067","","Low: stable ID preserved","Canonical record retained."
"RES-0068","Living Coral","Organic/Mineral","Epic","Alien","5","1","1","0","0","Biological Materials","Coral Materials","","Organic/Mineral;Epic;Alien","Biological","true","false","","","false","false","","false","RES-0068","","Low: stable ID preserved","Canonical record retained."
"RES-0069","World Tree Fiber","Biological","Epic","Alien","1","1","1","0","0","Biological Materials","Structural Biomaterials","","Biological;Epic;Alien","Biological","true","false","","","false","false","","false","RES-0069","","Low: stable ID preserved","Canonical record retained."
"RES-0070","Living Roots","Biological","Epic","Alien","4","1","1","0","0","Biological Materials","Structural Biomaterials","","Biological;Epic;Alien","Biological","true","false","","","false","false","","false","RES-0070","","Low: stable ID preserved","Canonical record retained."
"RES-0071","Mutagen","Biochemical","Epic","Alien","1","1","1","0","0","Biological Materials","Biochemical Agents","","Biochemical;Epic;Alien","Biological","true","false","","","false","false","","false","RES-0071","","Low: stable ID preserved","Canonical record retained."
"RES-0072","Parasitic Tissue","Biological","Epic","Alien","1","1","1","0","0","Biological Materials","Biological Tissues","","Biological;Epic;Alien","Biological","true","false","","","false","false","","false","RES-0072","","Low: stable ID preserved","Canonical record retained."
"RES-0073","Cellular Tissue","Biological","Epic","Alien","1","1","1","0","0","Biological Materials","Biological Tissues","","Biological;Epic;Alien","Biological","true","false","","","false","false","","false","RES-0073","","Low: stable ID preserved","Canonical record retained."
"RES-0074","Bioluminescent Organics","Organic","Epic","Alien","1","1","1","0","0","Organic Materials","Organic Compounds","","Organic;Epic;Alien","Organic","true","false","","","false","false","","false","RES-0074","","Low: stable ID preserved","Canonical record retained."
"RES-0075","Alien Spores","Organic","Epic","Alien","1","1","1","0","0","Organic Materials","Organic Compounds","","Organic;Epic;Alien","Organic","true","false","","","false","false","","false","RES-0075","","Low: stable ID preserved","Canonical record retained."
"RES-0076","Atmospheric Organics","Organic/Gas","Epic","Alien","1","1","1","0","0","Gases","Biological Gases","","Organic/Gas;Epic;Alien","Gas","true","false","","","false","false","","false","RES-0076","","Low: stable ID preserved","Canonical record retained."
"RES-0077","Crystal","Crystal","Rare","Alien","3","1","0","1","1","Crystals","General Crystals","","Crystal;Rare;Alien","Crystal","true","false","","","false","false","","false","RES-0077","","Low: stable ID preserved","Canonical record retained."
"RES-0078","Rare Crystal","Crystal","Rare","Alien","45","1","0","1","1","Crystals","General Crystals","","Crystal;Rare;Alien","Crystal","true","false","","","false","false","","false","RES-0078","","Low: stable ID preserved","Canonical record retained."
"RES-0079","Energy Crystal","Crystal/Energy","Rare","Alien","17","1","0","1","1","Crystals","Energy Crystals","","Crystal/Energy;Rare;Alien","Crystal","true","false","","","false","false","","false","RES-0079","","Low: stable ID preserved","Canonical record retained."
"RES-0080","Void Crystal","Crystal/Cosmic","Rare","Alien","6","1","0","1","1","Crystals","Exotic Crystals","","Crystal/Cosmic;Rare;Alien","Crystal","true","false","geological","GEO-0027","false","false","","false","RES-0080","","Low: stable ID preserved","Canonical record retained."
"RES-0081","Dark Crystal","Crystal","Rare","Alien","3","1","0","1","1","Crystals","Exotic Crystals","","Crystal;Rare;Alien","Crystal","true","false","","","false","false","","false","RES-0081","","Low: stable ID preserved","Canonical record retained."
"RES-0082","Prismatic Crystal","Crystal","Rare","Alien","1","1","0","1","1","Crystals","Exotic Crystals","","Crystal;Rare;Alien","Crystal","true","false","","","false","false","","false","RES-0082","","Low: stable ID preserved","Canonical record retained."
"RES-0083","Amethyst Crystal","Crystal","Rare","Alien","1","1","0","1","1","Crystals","Gemstones","","Crystal;Rare;Alien","Crystal","true","false","","","false","false","","false","RES-0083","","Low: stable ID preserved","Canonical record retained."
"RES-0084","Emerald Crystal","Crystal","Rare","Alien","1","1","0","1","1","Crystals","Gemstones","","Crystal;Rare;Alien","Crystal","true","false","","","false","false","","false","RES-0084","","Low: stable ID preserved","Canonical record retained."
"RES-0085","Sapphire Crystal","Crystal","Rare","Alien","1","1","0","1","1","Crystals","Gemstones","","Crystal;Rare;Alien","Crystal","true","false","","","false","false","","false","RES-0085","","Low: stable ID preserved","Canonical record retained."
"RES-0086","Cryo Crystal","Crystal/Ice","Rare","Alien","7","1","0","1","1","Crystals","Cryogenic Crystals","","Crystal/Ice;Rare;Alien","Crystal","true","false","","","false","false","","false","RES-0086","","Low: stable ID preserved","Canonical record retained."
"RES-0087","Magma Crystal","Crystal/Lava","Rare","Alien","2","1","0","1","1","Crystals","Volcanic Crystals","","Crystal/Lava;Rare;Alien","Crystal","true","false","","","false","false","","false","RES-0087","","Low: stable ID preserved","Canonical record retained."
"RES-0088","Obsidian Crystal","Crystal/Glass","Rare","Alien","1","1","0","1","1","Crystals","Volcanic Crystals","","Crystal/Glass;Rare;Alien","Crystal","true","false","rare-collections-and-wonders","WON-0587","false","false","","false","RES-0088","","Low: stable ID preserved","Canonical record retained."
"RES-0089","Photon Glass","Crystal/Energy","Rare","Alien","2","1","0","1","1","Crystals","Energy Crystals","","Crystal/Energy;Rare;Alien","Crystal","true","false","","","false","false","","false","RES-0089","","Low: stable ID preserved","Canonical record retained."
"RES-0090","Lightstone","Crystal/Energy","Rare","Alien","1","1","0","1","1","Crystals","Energy Crystals","","Crystal/Energy;Rare;Alien","Crystal","true","false","","","false","false","","false","RES-0090","","Low: stable ID preserved","Canonical record retained."
"RES-0091","Steel Alloy","Synthetic Metal","Epic","Ancient","2","1","0","1","0","Alloys and Engineered Materials","Structural Alloys","","Synthetic Metal;Epic;Ancient","Alloy","true","false","","","false","false","","false","RES-0091","","Low: stable ID preserved","Canonical record retained."
"RES-0092","Structural Alloy","Synthetic Metal","Epic","Ancient","2","1","0","1","0","Alloys and Engineered Materials","Structural Alloys","","Synthetic Metal;Epic;Ancient","Alloy","true","false","","","false","false","","false","RES-0092","","Low: stable ID preserved","Canonical record retained."
"RES-0093","Armor Alloy","Synthetic Metal","Epic","Ancient","1","1","0","1","0","Alloys and Engineered Materials","Armor Alloys","","Synthetic Metal;Epic;Ancient","Alloy","true","false","","","false","false","","false","RES-0093","","Low: stable ID preserved","Canonical record retained."
"RES-0094","Hyper Alloy","Synthetic Metal","Epic","Ancient","2","1","0","1","0","Alloys and Engineered Materials","Advanced Alloys","","Synthetic Metal;Epic;Ancient","Alloy","true","false","","","false","false","","false","RES-0094","","Low: stable ID preserved","Canonical record retained."
"RES-0095","Living Metal","Bio-Metal","Epic","Ancient","6","1","0","1","0","Alloys and Engineered Materials","Living Metals","","Bio-Metal;Epic;Ancient","Alloy","true","false","","","false","false","","false","RES-0095","","Low: stable ID preserved","Canonical record retained."
"RES-0096","Synthetic Matter","Synthetic","Epic","Ancient","1","1","0","1","0","Synthetic and Nanotechnology Materials","Synthetic Matter","","Synthetic;Epic;Ancient","Synthetic Material","true","false","","","false","false","","false","RES-0096","","Low: stable ID preserved","Canonical record retained."
"RES-0097","Nano Fiber","Synthetic","Epic","Ancient","1","1","0","1","0","Synthetic and Nanotechnology Materials","Nanomaterials","","Synthetic;Epic;Ancient","Synthetic Material","true","false","","","false","false","","false","RES-0097","","Low: stable ID preserved","Canonical record retained."
"RES-0098","Self-Replicating Nanites","Synthetic","Epic","Ancient","1","1","0","1","0","Synthetic and Nanotechnology Materials","Nanomachines","","Synthetic;Epic;Ancient","Synthetic Material","true","false","","","false","false","","false","RES-0098","","Low: stable ID preserved","Canonical record retained."
"RES-0099","Machine Parts","Synthetic","Epic","Ancient","1","1","0","1","0","Manufactured Components","Mechanical Components","","Synthetic;Epic;Ancient","Manufactured Component","true","false","","","false","false","","false","RES-0099","","Low: stable ID preserved","Canonical record retained."
"RES-0100","Circuitry","Synthetic/Electronics","Epic","Ancient","1","1","0","1","0","Manufactured Components","Electronics","","Synthetic/Electronics;Epic;Ancient","Manufactured Component","true","false","","","false","false","","false","RES-0100","","Low: stable ID preserved","Canonical record retained."
"RES-0101","Data Crystal","Synthetic/Information","Epic","Ancient","3","1","0","1","0","Crystals","Information and Field Crystals","","Synthetic/Information;Epic;Ancient","Crystal","true","false","","","false","false","","false","RES-0101","","Low: stable ID preserved","Canonical record retained."
"RES-0102","Quantum Core","Synthetic/Energy","Epic","Ancient","5","1","0","1","0","Exotic Matter","Quantum Matter","","Synthetic/Energy;Epic;Ancient","Exotic Matter","true","false","unknown-objects","UNK-0324","false","false","","false","RES-0102","","Low: stable ID preserved","Canonical record retained."
"RES-0103","Neural Matrix","Synthetic/Biological","Epic","Ancient","2","1","0","1","0","Synthetic and Nanotechnology Materials","Synthetic Intelligence Materials","","Synthetic/Biological;Epic;Ancient","Synthetic Material","true","false","","","false","false","","false","RES-0103","","Low: stable ID preserved","Canonical record retained."
"RES-0104","Machine Consciousness","Synthetic/AI","Epic","Ancient","3","1","0","1","0","Synthetic and Nanotechnology Materials","Synthetic Intelligence Materials","","Synthetic/AI;Epic;Ancient","Synthetic Material","true","false","","","false","false","","false","RES-0104","","Low: stable ID preserved","Canonical record retained."
"RES-0105","Singularity Core","Synthetic/Cosmic","Epic","Ancient","4","1","0","1","0","Exotic Matter","Singularity Matter","","Synthetic/Cosmic;Epic;Ancient","Exotic Matter","true","false","","","false","false","","false","RES-0105","","Low: stable ID preserved","Canonical record retained."
"RES-0106","Ancient Alloy","Ancient Metal","Relic","Ancient","12","1","0","0","1","Alloys and Engineered Materials","Ancient Alloys","","Ancient Metal;Relic;Ancient","Alloy","true","false","","","false","false","","false","RES-0106","","Low: stable ID preserved","Canonical record retained."
"RES-0107","Precursor Metal","Ancient Metal","Relic","Ancient","0","1","0","0","1","Alloys and Engineered Materials","Ancient Alloys","","Ancient Metal;Relic;Ancient","Alloy","true","false","","","false","false","","false","RES-0107","","Low: stable ID preserved","Canonical record retained."
"RES-0126","Dark Matter","Cosmic","Legendary","Cosmic","6","1","0","0","1","Exotic Matter","Dark and Negative Matter","","Cosmic;Legendary","Exotic Matter","true","false","","","false","false","","false","RES-0126","","Low: stable ID preserved","Canonical record retained."
"RES-0127","Exotic Matter","Cosmic","Legendary","Cosmic","8","1","0","0","1","Exotic Matter","General Exotic Matter","","Cosmic;Legendary","Exotic Matter","true","false","","","false","false","","false","RES-0127","","Low: stable ID preserved","Canonical record retained."
"RES-0128","Quantum Ore","Cosmic Ore","Legendary","Cosmic","22","1","0","0","1","Ores","Exotic Ores","","Cosmic Ore;Legendary;Cosmic","Ore","true","false","","","false","false","","false","RES-0128","","Low: stable ID preserved","Canonical record retained."
"RES-0129","Quantum Foam","Cosmic","Legendary","Cosmic","2","1","0","0","1","Exotic Matter","Quantum Matter","","Cosmic;Legendary","Exotic Matter","true","false","","","false","false","","false","RES-0129","","Low: stable ID preserved","Canonical record retained."
"RES-0130","Collapsed Matter","Cosmic","Legendary","Cosmic","2","1","0","0","1","Exotic Matter","General Exotic Matter","","Cosmic;Legendary","Exotic Matter","true","false","","","false","false","","false","RES-0130","","Low: stable ID preserved","Canonical record retained."
"RES-0131","Gravity Crystal","Cosmic Crystal","Legendary","Cosmic","7","1","0","0","1","Crystals","Information and Field Crystals","","Cosmic Crystal;Legendary;Cosmic","Crystal","true","false","","","false","false","","false","RES-0131","","Low: stable ID preserved","Canonical record retained."
"RES-0132","Gravitonium","Cosmic Element","Legendary","Cosmic","0","1","0","0","1","Exotic Matter","Gravitic Matter","","Cosmic Element;Legendary;Cosmic","Exotic Matter","true","false","","","false","false","","false","RES-0132","","Low: stable ID preserved","Canonical record retained."
"RES-0133","Void Essence","Cosmic","Legendary","Cosmic","3","1","0","0","1","Exotic Matter","Void Matter","","Cosmic;Legendary","Exotic Matter","true","false","","","false","false","","false","RES-0133","","Low: stable ID preserved","Canonical record retained."
